#{"t_start": 1754500590.5256593, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
330.0,2729,2.334812
30.0,1205,2.6749
110.0,1659,3.206484
65.0,1315,3.56812
210.0,3841,4.657667
160.0,2297,5.314381
80.0,1855,5.944303
120.0,1555,6.372226
65.0,1179,6.724335
30.0,1505,7.158167
85.0,1929,7.716701
135.0,1807,8.216516
115.0,2227,8.834849
100.0,1195,9.207445
30.0,2027,9.787112
50.0,1297,10.156532
165.0,1963,10.703827
65.0,1135,11.030815
105.0,1989,11.583236
95.0,1931,12.131531
65.0,1481,12.557255
215.0,2371,13.227822
155.0,1899,13.759115
390.0,3159,14.613017
15.0,1287,14.966233
100.0,1733,15.445657
315.0,2815,16.257271
515.0,3895,17.359286
125.0,1809,17.867332
90.0,2027,18.443589
160.0,2243,21.475588
105.0,1537,21.895931
210.0,2341,22.534878
95.0,1461,22.940662
35.0,1061,23.262518
155.0,1921,23.841141
80.0,1537,24.356044
50.0,1899,25.002054
275.0,2673,25.807544
155.0,1733,26.344838
485.0,3989,27.668035
75.0,1103,28.009239
380.0,2063,28.641358
105.0,1627,29.154283
445.0,3107,30.135765
210.0,2357,30.814659
185.0,3043,31.683608
75.0,1039,31.96447
30.0,1767,32.458457
110.0,1873,32.991812
380.0,2785,33.757026
495.0,3927,39.470044
135.0,1949,40.049842
50.0,1555,40.479188
85.0,1249,40.835552
45.0,1819,41.343543
60.0,1307,41.699358
105.0,2071,42.285916
135.0,2661,43.059117
410.0,3081,44.048936
520.0,3077,45.036246
210.0,2443,45.798869
120.0,2135,46.445008
120.0,2117,47.047685
120.0,1923,47.613069
180.0,2239,48.351016
210.0,2609,49.187093
135.0,2425,49.850831
380.0,2643,50.577659
155.0,2095,53.671161
55.0,1165,54.024536
110.0,2023,54.620243
90.0,1187,54.981329
155.0,1763,55.543046
105.0,2283,56.183454
185.0,2643,56.9613
410.0,2719,57.797364
80.0,1479,58.269875
95.0,2247,58.910024
80.0,1543,59.362646
50.0,1139,59.730454
30.0,1857,60.257475
125.0,2519,60.991839
105.0,1673,61.464781
180.0,2443,62.148051
150.0,2259,62.77696
180.0,2167,63.404771
55.0,1555,63.826202
45.0,1789,64.328398
80.0,1685,64.789863
60.0,1167,65.120806
75.0,1845,65.648934
210.0,2253,66.425167
50.0,1585,66.953007
145.0,1587,67.442713
105.0,1961,68.044639
80.0,1089,68.358715
45.0,1159,68.69395
55.0,1133,69.037999
260.0,2135,69.622418
120.0,1751,70.12962
65.0,1525,70.629813
120.0,1999,78.185071
260.0,2941,79.025145
260.0,2845,79.86034
300.0,3293,80.77828
175.0,2371,81.460774
235.0,2627,82.199012
135.0,2283,82.876264
125.0,1837,83.413574
110.0,1953,86.558392
135.0,2387,87.240566
290.0,3375,88.326777
120.0,1913,88.879443
565.0,4091,90.04189
35.0,1289,90.456198
90.0,1815,91.136114
225.0,2265,91.891353
155.0,2085,92.533607
120.0,3111,93.509469
85.0,1993,94.218033
105.0,1489,94.678851
195.0,2449,95.383246
175.0,2383,96.11703
375.0,3681,97.223176
80.0,1659,97.75265
55.0,1471,98.185623
210.0,1999,98.820344
145.0,1649,99.47447
120.0,1485,99.943458
70.0,1179,100.302001
100.0,1501,100.773355
160.0,1683,101.2562
135.0,2027,101.805752
70.0,1019,102.087966
225.0,2401,102.806451
110.0,1839,103.359863
410.0,3551,104.350056
210.0,2185,104.998645
180.0,2181,105.69767
30.0,1189,106.035201
105.0,1951,106.608076
240.0,3087,107.599189
165.0,2353,108.338009
20.0,1583,108.872019
170.0,2575,109.62318
80.0,1583,110.262174
135.0,1853,110.816895
55.0,1537,111.356907
140.0,1957,122.281341
330.0,2745,123.051081
105.0,1905,123.605229
80.0,1283,123.970639
250.0,2941,124.828705
215.0,2365,125.653889
225.0,2403,126.504547
105.0,1689,126.996566
80.0,1429,127.454425
55.0,1149,127.901209
110.0,1533,128.417267
60.0,1333,128.868835
420.0,3139,129.815074
95.0,2139,130.526085
160.0,1843,131.168852
125.0,1799,131.771593
570.0,3367,132.845128
170.0,2137,133.534167
15.0,1345,133.922317
80.0,1485,134.433407
155.0,2293,135.0833
120.0,2273,135.751429
135.0,2431,136.42926
155.0,2049,137.050477
105.0,1169,137.398665
35.0,1321,137.76841
150.0,2517,138.628065
30.0,1291,139.106013
80.0,1467,139.810616
210.0,2483,140.617047
55.0,1365,141.012411
70.0,1229,141.387516
120.0,1823,141.938127
160.0,2367,142.65432
110.0,1949,143.193662
300.0,2161,143.794896
55.0,1129,144.135962
180.0,2173,144.840857
80.0,1453,145.323312
215.0,2435,146.056904
265.0,2929,146.936332
120.0,2235,147.54927
125.0,2035,148.1723
200.0,2495,151.30168
120.0,2151,152.050714
30.0,1125,152.378719
155.0,1913,152.930987
145.0,2007,153.509083
100.0,1987,154.107447
180.0,2335,154.802028
165.0,2567,155.582867
55.0,1143,155.944157
485.0,4561,171.340116
170.0,2527,174.109235
145.0,3273,178.122848
105.0,3939,185.718839
60.0,1931,187.820724
105.0,2891,190.956486
155.0,2921,194.173459
330.0,3695,198.739788
205.0,4239,204.180899
135.0,1987,207.523283
235.0,3747,213.00118
75.0,2955,219.993642
275.0,4777,228.364112
105.0,1835,231.241466
270.0,3069,236.686438
135.0,2495,243.804012
110.0,2037,249.318991
115.0,1943,252.007996
5.0,1475,254.836218
190.0,3777,261.487645
115.0,1865,265.159271
380.0,4957,274.651968
40.0,1891,278.254716
225.0,3595,286.990575
150.0,2995,293.032584
175.0,2031,296.321033
270.0,3955,301.815777
125.0,2103,304.572618
20.0,1977,307.449006
270.0,3079,314.703462
260.0,3507,319.57707
230.0,3069,324.501503
190.0,2895,328.999182
20.0,1103,330.917936
280.0,5051,350.66217
85.0,1861,352.830691
160.0,1905,355.195611
235.0,2161,358.324386
135.0,2471,361.436969
265.0,3059,364.571933
100.0,1133,365.814399
195.0,2817,368.821972
330.0,3663,373.18034
210.0,3841,379.723685
145.0,1961,381.952535
200.0,2507,384.877741
65.0,2139,387.041046
325.0,3037,390.52452
190.0,2857,393.793903
60.0,2475,396.343237
175.0,2385,398.89393
50.0,1167,400.160852
180.0,3787,404.237257
110.0,2881,407.329921
295.0,3197,413.337673
380.0,4751,418.398198
210.0,1997,420.760389
585.0,4311,425.33008
190.0,1953,427.404561
125.0,1881,429.390428
115.0,1965,431.847965
185.0,1737,433.733262
135.0,2143,435.915741
